PTRt-12,PTRt-11,PTRt-10,PTRt-9,PTRt-8,PTRt-7,PTRt-6,PTRt-5,PTRt-4,PTRt-3,PTRt-2,PTRt-1
13.03,7.56,10.37,7.53,6.14,8.02,7.92,13.07,7.65,10.42,7.59,6.19
7.56,10.37,7.53,6.14,8.02,7.92,13.07,7.65,10.42,7.59,6.19,8.41
10.37,7.53,6.14,8.02,7.92,13.07,7.65,10.42,7.59,6.19,8.41,9.0
7.53,6.14,8.02,7.92,13.07,7.65,10.42,7.59,6.19,8.41,9.0,13.19
6.14,8.02,7.92,13.07,7.65,10.42,7.59,6.19,8.41,9.0,13.19,7.7
8.02,7.92,13.07,7.65,10.42,7.59,6.19,8.41,9.0,13.19,7.7,10.45
7.92,13.07,7.65,10.42,7.59,6.19,8.41,9.0,13.19,7.7,10.45,7.69
13.07,7.65,10.42,7.59,6.19,8.41,9.0,13.19,7.7,10.45,7.69,6.17
7.65,10.42,7.59,6.19,8.41,9.0,13.19,7.7,10.45,7.69,6.17,8.31
10.42,7.59,6.19,8.41,9.0,13.19,7.7,10.45,7.69,6.17,8.31,9.71
7.59,6.19,8.41,9.0,13.19,7.7,10.45,7.69,6.17,8.31,9.71,13.25
6.19,8.41,9.0,13.19,7.7,10.45,7.69,6.17,8.31,9.71,13.25,7.76
8.41,9.0,13.19,7.7,10.45,7.69,6.17,8.31,9.71,13.25,7.76,10.52
9.0,13.19,7.7,10.45,7.69,6.17,8.31,9.71,13.25,7.76,10.52,7.7
13.19,7.7,10.45,7.69,6.17,8.31,9.71,13.25,7.76,10.52,7.7,6.41
7.7,10.45,7.69,6.17,8.31,9.71,13.25,7.76,10.52,7.7,6.41,8.08
10.45,7.69,6.17,8.31,9.71,13.25,7.76,10.52,7.7,6.41,8.08,10.04
7.69,6.17,8.31,9.71,13.25,7.76,10.52,7.7,6.41,8.08,10.04,13.25
6.17,8.31,9.71,13.25,7.76,10.52,7.7,6.41,8.08,10.04,13.25,7.81
8.31,9.71,13.25,7.76,10.52,7.7,6.41,8.08,10.04,13.25,7.81,10.58
9.71,13.25,7.76,10.52,7.7,6.41,8.08,10.04,13.25,7.81,10.58,7.67
13.25,7.76,10.52,7.7,6.41,8.08,10.04,13.25,7.81,10.58,7.67,6.17
7.76,10.52,7.7,6.41,8.08,10.04,13.25,7.81,10.58,7.67,6.17,8.19
10.52,7.7,6.41,8.08,10.04,13.25,7.81,10.58,7.67,6.17,8.19,10.31
7.7,6.41,8.08,10.04,13.25,7.81,10.58,7.67,6.17,8.19,10.31,13.26
6.41,8.08,10.04,13.25,7.81,10.58,7.67,6.17,8.19,10.31,13.26,7.94
8.08,10.04,13.25,7.81,10.58,7.67,6.17,8.19,10.31,13.26,7.94,10.6
10.04,13.25,7.81,10.58,7.67,6.17,8.19,10.31,13.26,7.94,10.6,7.71
13.25,7.81,10.58,7.67,6.17,8.19,10.31,13.26,7.94,10.6,7.71,6.03
7.81,10.58,7.67,6.17,8.19,10.31,13.26,7.94,10.6,7.71,6.03,8.47
10.58,7.67,6.17,8.19,10.31,13.26,7.94,10.6,7.71,6.03,8.47,10.34
