DT,MLP,MPC,SFL,SFG,IV,DV,TNV,BSI,PTR,MHI,MSP
2012-04-28,138.3663366,3.964691109,36.01,63.99,21.33,64.62,5.3118,5.236294896,11.91,1.663113006,139.1581
2012-05-05,203.6652835,3.290322581,28.4,71.6,40.61,42.47,5.6782,0.680529301,13.74,8.933901919,208.553
2012-05-10,249.9233129,3.926556751,29.77285165,62.68356743,42.38,40.03,5.9421,2.854442344,16.86,3.304904051,217.6544
2012-05-15,143.0713312,4.357298475,36.35070985,74.19716449,45.68,39.31,5.476684812,6.29489603,10.68,3.719736478,180.3576904
2012-05-18,165.9539535,5.245901639,38.28835128,61.03060688,27.3,59.85,4.6638,2.895354381,11.85,0.490405117,113.1047
2012-05-20,138.113678,3.573981415,24.15,75.85,31.78,49.79,5.0898,0.841931721,10.88,3.176972281,128.6435
2012-05-25,210.1269812,4.705684108,28.95996188,67.79340768,35.1,54.32,4.874262964,4.480151229,12.88,7.292110874,132.4025076
2012-05-28,138.6577926,3.602401601,39.41,60.59,24.41,60.77,5.4467,5.236294896,11.86,1.663113006,142.2194
2012-06-05,202.1886792,3.193535064,26.08,73.92,45.26,37.8,5.783,0.680529301,13.75,8.933901919,218.4403
2012-06-10,251.585652,3.749964632,26.88154506,68.49716748,46.4,36.29,6.0566,2.854442344,16.35,3.304904051,217.2166
2012-06-15,140.0442478,4.729422465,32.33909486,68.59433635,43.52,40.73,5.355556728,6.29489603,10.28,3.913414942,203.2537693
2012-06-18,164.7013671,5.637525348,27.5524055,68.07447003,26.82,60.17,4.715,2.859675345,11.49,0.490405117,117.5946
2012-06-20,139.1079159,3.572704537,28.78,71.22,34.32,46.22,5.2019,5.965348163,10.9,3.176972281,131.9071
2012-06-25,183.4822701,5.328477059,26.63847384,73.35699773,38.05,50.81,5.860072786,4.480151229,14.98,7.292110874,156.9048228
2012-06-28,137.6190476,3.706325586,32.98,67.02,24.27,60.74,5.5732,5.236294896,11.81,1.663113006,143.311
2012-07-05,199.828085,3.255813953,28.89,71.11,50.66,33.13,5.8837,0.680529301,13.66,8.933901919,221.0968
2012-07-10,254.8689942,4.016064257,28.76797566,61.94666568,48.01,34.79,6.2079,2.854442344,14.77,3.304904051,214.1942
2012-07-15,139.8433128,4.349717268,38.37502602,69.1879589,43.45,41.89,5.656850714,6.29489603,10.03,1.396160965,207.3499284
2012-07-18,165.719697,5.423728814,25.24046486,61.70984122,25.72,61.11,4.7729,2.948435978,12.8,0.490405117,122.8737
2012-07-20,138.8313413,3.460207612,23.12,76.88,36.79,43.39,5.2537,6.120439054,10.9,3.176972281,134.0315
2012-07-25,191.1672888,4.138727748,30.89872811,64.05160097,38.76,50.41,5.972443718,4.480151229,14.14,7.292110874,183.7299972
2012-07-28,136.787031,3.846647069,39.58,60.42,24.19,60.78,5.6689,5.236294896,11.71,1.663113006,144.4426
2012-08-05,197.2972973,3.366340594,27.33,72.67,54.59,30.02,6.0025,0.680529301,13.66,8.933901919,219.1591
2012-08-10,252.4417375,3.835141968,27.9910277,69.76990264,48.54,34.02,6.3224,2.854442344,15.26,3.304904051,212.9739
2012-08-15,137.7479928,4.178465907,26.81626872,71.18827965,45.18,40.62,5.627340893,6.29489603,10.16,2.652376602,169.8088425
2012-08-18,162.5822841,5.628834842,27.98341526,72.92267637,25.51,62.01,4.9332,4.540385444,11.64,0.490405117,123.7736
2012-08-20,138.3410642,3.510157525,25.65,74.35,35.88,44.58,5.2806,5.615348424,10.84,3.176972281,134.8139
2012-08-25,548.8893677,4.284050865,29.80123301,65.66017476,39.22,50.62,5.490263731,4.480151229,13.59,7.292110874,191.6544464
2012-08-28,136.787031,3.847633705,35.3,64.7,27.44,57.14,5.7356,5.236294896,11.75,1.663113006,143.3179
2012-09-05,198.4126984,3.334444815,27.82,72.18,58.14,27.41,6.0659,0.680529301,13.68,8.933901919,213.3334
2012-09-10,257.8651685,4,26.89104265,71.82229411,48.8,33.76,6.4547,2.854442344,15.96,3.304904051,218.7727
2012-09-15,136.2540193,4.100035315,30.4316383,68.55290135,46.34,38.8,5.360957562,6.29489603,10.37,1.066707541,147.3909055
2012-09-18,163.7547249,6.007067138,28.77284227,67.65359344,25.47,62.24,4.9674,5.248380154,11.65,0.490405117,120.2393
2012-09-20,137.0767494,3.390405153,23.64,76.36,37,44.31,5.3155,2.935793683,10.77,3.176972281,133.6734
2012-09-25,532.5159915,4.697215903,25.6895426,68.11171984,39.55,49.41,5.673471366,4.480151229,13.3,7.292110874,207.2691045
2012-09-28,136.6173121,3.740562482,32.75,67.25,31.14,53.24,5.791,5.236294896,11.91,1.663113006,142.8802
