MSPt-1,MSPt-3,MSPt-2,MSPt-5,MSPt-6,IVt-1,IVt-2,DVt-3,MLPt-8,DVt-5,MLPt-6,MLPt-7,MLPt-5,MLPt-2,MLPt-3,MLPt-1
128.8197,213.1844,193.9606585,143.1748,187.8344731,25.26,20.6,57.18,165.3311966,82.2,250.3337465,137.6530612,140.5814806,136.4003026,251.0917031,163.591997
130.0653,193.9606585,128.8197,200.6229,143.1748,19.36,25.26,67.54,137.6530612,61.38,140.5814806,250.3337465,192.2147002,163.591997,136.4003026,135.1127321
208.5319506,128.8197,130.0653,213.1844,200.6229,42.84,19.36,60.51,250.3337465,57.18,192.2147002,140.5814806,251.0917031,135.1127321,163.591997,157.719589
140.7677,130.0653,208.5319506,193.9606585,213.1844,9.08,42.84,65.34,140.5814806,67.54,251.0917031,192.2147002,136.4003026,157.719589,135.1127321,137.3626374
197.5298,208.5319506,140.7677,128.8197,193.9606585,24.26,9.08,44.93,192.2147002,60.51,136.4003026,251.0917031,163.591997,137.3626374,157.719589,188.7899705
216.554,140.7677,197.5298,130.0653,128.8197,29.3,24.26,82.55,251.0917031,65.34,163.591997,136.4003026,135.1127321,188.7899705,137.3626374,252.5826446
209.37095,197.5298,216.554,208.5319506,130.0653,22.55,29.3,59.98,136.4003026,44.93,135.1127321,163.591997,157.719589,252.5826446,188.7899705,134.529148
126.0081,216.554,209.37095,140.7677,208.5319506,23.89,22.55,54.92,163.591997,82.55,157.719589,135.1127321,137.3626374,134.529148,252.5826446,164.5
130.2332,209.37095,126.0081,197.5298,140.7677,20.7,23.89,65.36,135.1127321,59.98,137.3626374,157.719589,188.7899705,164.5,134.529148,132.9678549
143.2763551,126.0081,130.2332,216.554,197.5298,35.74,20.7,62.52,157.719589,54.92,188.7899705,137.3626374,252.5826446,132.9678549,164.5,156.4951487
138.6175,130.2332,143.2763551,209.37095,216.554,10.2,35.74,63.95,137.3626374,65.36,252.5826446,188.7899705,134.529148,156.4951487,132.9678549,136.0619075
193.2583,143.2763551,138.6175,126.0081,209.37095,25.76,10.2,52.38,188.7899705,62.52,134.529148,252.5826446,164.5,136.0619075,156.4951487,190.5857544
217.0298,138.6175,193.2583,130.2332,126.0081,30.6,25.76,80.6,252.5826446,63.95,164.5,134.529148,132.9678549,190.5857544,136.0619075,250.68353
146.4868383,193.2583,217.0298,143.2763551,130.2332,25.56,30.6,58.47,134.529148,52.38,132.9678549,164.5,156.4951487,250.68353,190.5857544,130.5774278
117.1669,217.0298,146.4868383,138.6175,143.2763551,24.36,25.56,53.62,164.5,80.6,156.4951487,132.9678549,136.0619075,130.5774278,250.68353,162.1360392
123.9385,146.4868383,117.1669,193.2583,138.6175,22.98,24.36,61.83,132.9678549,58.47,136.0619075,156.4951487,190.5857544,162.1360392,130.5774278,133.0195377
132.1349279,117.1669,123.9385,217.0298,193.2583,33.1,22.98,62.43,156.4951487,53.62,190.5857544,136.0619075,250.68353,133.0195377,162.1360392,213.5313147
136.9242,123.9385,132.1349279,146.4868383,217.0298,13.81,33.1,60.93,136.0619075,61.83,250.68353,190.5857544,130.5774278,213.5313147,133.0195377,137.0513676
187.8511,132.1349279,136.9242,117.1669,146.4868383,28.9,13.81,55.72,190.5857544,62.43,130.5774278,250.68353,162.1360392,137.0513676,213.5313147,193.2666667
213.5626,136.9242,187.8511,123.9385,117.1669,33.11,28.9,74.76,250.68353,60.93,162.1360392,130.5774278,133.0195377,193.2666667,137.0513676,249.5831017
158.1196912,187.8511,213.5626,132.1349279,123.9385,27.71,33.11,55.03,130.5774278,55.72,133.0195377,162.1360392,213.5313147,249.5831017,193.2666667,130.6040292
112.4091,213.5626,158.1196912,136.9242,132.1349279,25.64,27.71,50.79,162.1360392,74.76,213.5313147,133.0195377,137.0513676,130.6040292,249.5831017,161.8705036
126.4212,158.1196912,112.4091,187.8511,136.9242,23.24,25.64,59.52,133.0195377,55.03,137.0513676,213.5313147,193.2666667,161.8705036,130.6040292,133.1961594
211.7575684,112.4091,126.4212,213.5626,187.8511,32.49,23.24,60.87,213.5313147,50.79,193.2666667,137.0513676,249.5831017,133.1961594,161.8705036,238.2065715
133.6789,126.4212,211.7575684,158.1196912,213.5626,14.62,32.49,61.33,137.0513676,59.52,249.5831017,193.2666667,130.6040292,238.2065715,133.1961594,134.9635036
191.9017,211.7575684,133.6789,112.4091,158.1196912,32.03,14.62,56.85,193.2666667,60.87,130.6040292,249.5831017,161.8705036,134.9635036,238.2065715,198.2127885
212.3,133.6789,191.9017,126.4212,112.4091,36.55,32.03,73.74,249.5831017,61.33,161.8705036,130.6040292,133.1961594,198.2127885,134.9635036,249.0820188
137.337357,191.9017,212.3,211.7575684,126.4212,33.67,36.55,51.99,130.6040292,56.85,133.1961594,161.8705036,238.2065715,249.0820188,198.2127885,134.4430218
110.7645,212.3,137.337357,133.6789,211.7575684,26.81,33.67,47.91,161.8705036,73.74,238.2065715,133.1961594,134.9635036,134.4430218,249.0820188,162.4109785
124.917,137.337357,110.7645,191.9017,133.6789,25.34,26.81,52.52,133.1961594,51.99,134.9635036,238.2065715,198.2127885,162.4109785,134.4430218,134.7222222
145.5983138,110.7645,124.917,212.3,191.9017,32.75,25.34,60.26,238.2065715,47.91,198.2127885,134.9635036,249.0820188,134.7222222,162.4109785,167.5653098
135.7289,124.917,145.5983138,137.337357,212.3,18.34,32.75,58.78,134.9635036,52.52,249.0820188,198.2127885,134.4430218,167.5653098,134.7222222,136.9156002
198.4896,145.5983138,135.7289,110.7645,137.337357,35.38,18.34,56.27,198.2127885,60.26,134.4430218,249.0820188,162.4109785,136.9156002,167.5653098,202.4488389
220.1588,135.7289,198.4896,124.917,110.7645,41.16,35.38,69.09,249.0820188,58.78,162.4109785,134.4430218,134.7222222,202.4488389,136.9156002,248.9583333
131.0315112,198.4896,220.1588,145.5983138,124.917,39.47,41.16,47.92,134.4430218,56.27,134.7222222,162.4109785,167.5653098,248.9583333,202.4488389,137.1428571
