SFLt-12,SFLt-11,SFLt-10,SFLt-9,SFLt-8,SFLt-7,SFLt-6,SFLt-5,SFLt-4,SFLt-3,SFLt-2,SFLt-1
23.48333,23.48333,27.62,25.71667,23.4,26.13,25.71667,25.71667,25.71667,26.59,25.62667,27.12
23.48333,27.62,25.71667,23.4,26.13,25.71667,25.71667,25.71667,26.59,25.62667,27.12,23.17
27.62,25.71667,23.4,26.13,25.71667,25.71667,25.71667,26.59,25.62667,27.12,23.17,25.62667
25.71667,23.4,26.13,25.71667,25.71667,25.71667,26.59,25.62667,27.12,23.17,25.62667,25.62667
23.4,26.13,25.71667,25.71667,25.71667,26.59,25.62667,27.12,23.17,25.62667,25.62667,25.62667
26.13,25.71667,25.71667,25.71667,26.59,25.62667,27.12,23.17,25.62667,25.62667,25.62667,26.82
25.71667,25.71667,25.71667,26.59,25.62667,27.12,23.17,25.62667,25.62667,25.62667,26.82,24.64
25.71667,25.71667,26.59,25.62667,27.12,23.17,25.62667,25.62667,25.62667,26.82,24.64,23.82
25.71667,26.59,25.62667,27.12,23.17,25.62667,25.62667,25.62667,26.82,24.64,23.82,23.28
26.59,25.62667,27.12,23.17,25.62667,25.62667,25.62667,26.82,24.64,23.82,23.28,24.64
25.62667,27.12,23.17,25.62667,25.62667,25.62667,26.82,24.64,23.82,23.28,24.64,24.64
27.12,23.17,25.62667,25.62667,25.62667,26.82,24.64,23.82,23.28,24.64,24.64,24.64
23.17,25.62667,25.62667,25.62667,26.82,24.64,23.82,23.28,24.64,24.64,24.64,25.63
25.62667,25.62667,25.62667,26.82,24.64,23.82,23.28,24.64,24.64,24.64,25.63,23.08333
25.62667,25.62667,26.82,24.64,23.82,23.28,24.64,24.64,24.64,25.63,23.08333,20.08
25.62667,26.82,24.64,23.82,23.28,24.64,24.64,24.64,25.63,23.08333,20.08,23.54
26.82,24.64,23.82,23.28,24.64,24.64,24.64,25.63,23.08333,20.08,23.54,23.08333
24.64,23.82,23.28,24.64,24.64,24.64,25.63,23.08333,20.08,23.54,23.08333,23.08333
23.82,23.28,24.64,24.64,24.64,25.63,23.08333,20.08,23.54,23.08333,23.08333,23.08333
23.28,24.64,24.64,24.64,25.63,23.08333,20.08,23.54,23.08333,23.08333,23.08333,25.58
24.64,24.64,24.64,25.63,23.08333,20.08,23.54,23.08333,23.08333,23.08333,25.58,22.34667
24.64,24.64,25.63,23.08333,20.08,23.54,23.08333,23.08333,23.08333,25.58,22.34667,20.3
24.64,25.63,23.08333,20.08,23.54,23.08333,23.08333,23.08333,25.58,22.34667,20.3,21.16
25.63,23.08333,20.08,23.54,23.08333,23.08333,23.08333,25.58,22.34667,20.3,21.16,22.34667
23.08333,20.08,23.54,23.08333,23.08333,23.08333,25.58,22.34667,20.3,21.16,22.34667,22.34667
20.08,23.54,23.08333,23.08333,23.08333,25.58,22.34667,20.3,21.16,22.34667,22.34667,22.34667
23.54,23.08333,23.08333,23.08333,25.58,22.34667,20.3,21.16,22.34667,22.34667,22.34667,26.07
23.08333,23.08333,23.08333,25.58,22.34667,20.3,21.16,22.34667,22.34667,22.34667,26.07,22.14
23.08333,23.08333,25.58,22.34667,20.3,21.16,22.34667,22.34667,22.34667,26.07,22.14,23.32
23.08333,25.58,22.34667,20.3,21.16,22.34667,22.34667,22.34667,26.07,22.14,23.32,17.03
25.58,22.34667,20.3,21.16,22.34667,22.34667,22.34667,26.07,22.14,23.32,17.03,22.14
22.34667,20.3,21.16,22.34667,22.34667,22.34667,26.07,22.14,23.32,17.03,22.14,22.14
20.3,21.16,22.34667,22.34667,22.34667,26.07,22.14,23.32,17.03,22.14,22.14,22.14
21.16,22.34667,22.34667,22.34667,26.07,22.14,23.32,17.03,22.14,22.14,22.14,24.17
22.34667,22.34667,22.34667,26.07,22.14,23.32,17.03,22.14,22.14,22.14,24.17,22.95667
22.34667,22.34667,26.07,22.14,23.32,17.03,22.14,22.14,22.14,24.17,22.95667,23.3
22.34667,26.07,22.14,23.32,17.03,22.14,22.14,22.14,24.17,22.95667,23.3,21.4
26.07,22.14,23.32,17.03,22.14,22.14,22.14,24.17,22.95667,23.3,21.4,22.95667
22.14,23.32,17.03,22.14,22.14,22.14,24.17,22.95667,23.3,21.4,22.95667,22.95667
23.32,17.03,22.14,22.14,22.14,24.17,22.95667,23.3,21.4,22.95667,22.95667,22.95667
17.03,22.14,22.14,22.14,24.17,22.95667,23.3,21.4,22.95667,22.95667,22.95667,24.54
22.14,22.14,22.14,24.17,22.95667,23.3,21.4,22.95667,22.95667,22.95667,24.54,21.71
22.14,22.14,24.17,22.95667,23.3,21.4,22.95667,22.95667,22.95667,24.54,21.71,18.99
22.14,24.17,22.95667,23.3,21.4,22.95667,22.95667,22.95667,24.54,21.71,18.99,21.6
24.17,22.95667,23.3,21.4,22.95667,22.95667,22.95667,24.54,21.71,18.99,21.6,21.71
22.95667,23.3,21.4,22.95667,22.95667,22.95667,24.54,21.71,18.99,21.6,21.71,21.71
23.3,21.4,22.95667,22.95667,22.95667,24.54,21.71,18.99,21.6,21.71,21.71,21.71
21.4,22.95667,22.95667,22.95667,24.54,21.71,18.99,21.6,21.71,21.71,21.71,25.91
22.95667,22.95667,22.95667,24.54,21.71,18.99,21.6,21.71,21.71,21.71,25.91,22.71667
22.95667,22.95667,24.54,21.71,18.99,21.6,21.71,21.71,21.71,25.91,22.71667,19.97
22.95667,24.54,21.71,18.99,21.6,21.71,21.71,21.71,25.91,22.71667,19.97,22.27
24.54,21.71,18.99,21.6,21.71,21.71,21.71,25.91,22.71667,19.97,22.27,22.71667
21.71,18.99,21.6,21.71,21.71,21.71,25.91,22.71667,19.97,22.27,22.71667,22.71667
18.99,21.6,21.71,21.71,21.71,25.91,22.71667,19.97,22.27,22.71667,22.71667,22.71667
21.6,21.71,21.71,21.71,25.91,22.71667,19.97,22.27,22.71667,22.71667,22.71667,25.48
21.71,21.71,21.71,25.91,22.71667,19.97,22.27,22.71667,22.71667,22.71667,25.48,23.13333
21.71,21.71,25.91,22.71667,19.97,22.27,22.71667,22.71667,22.71667,25.48,23.13333,20.86
21.71,25.91,22.71667,19.97,22.27,22.71667,22.71667,22.71667,25.48,23.13333,20.86,23.06
25.91,22.71667,19.97,22.27,22.71667,22.71667,22.71667,25.48,23.13333,20.86,23.06,23.13333
22.71667,19.97,22.27,22.71667,22.71667,22.71667,25.48,23.13333,20.86,23.06,23.13333,23.13333
19.97,22.27,22.71667,22.71667,22.71667,25.48,23.13333,20.86,23.06,23.13333,23.13333,23.13333
22.27,22.71667,22.71667,22.71667,25.48,23.13333,20.86,23.06,23.13333,23.13333,23.13333,24.52
22.71667,22.71667,22.71667,25.48,23.13333,20.86,23.06,23.13333,23.13333,23.13333,24.52,21.43667
22.71667,22.71667,25.48,23.13333,20.86,23.06,23.13333,23.13333,23.13333,24.52,21.43667,19.04
22.71667,25.48,23.13333,20.86,23.06,23.13333,23.13333,23.13333,24.52,21.43667,19.04,20.75
25.48,23.13333,20.86,23.06,23.13333,23.13333,23.13333,24.52,21.43667,19.04,20.75,21.43667
23.13333,20.86,23.06,23.13333,23.13333,23.13333,24.52,21.43667,19.04,20.75,21.43667,21.43667
20.86,23.06,23.13333,23.13333,23.13333,24.52,21.43667,19.04,20.75,21.43667,21.43667,21.43667
23.06,23.13333,23.13333,23.13333,24.52,21.43667,19.04,20.75,21.43667,21.43667,21.43667,25.12
23.13333,23.13333,23.13333,24.52,21.43667,19.04,20.75,21.43667,21.43667,21.43667,25.12,23.09667
23.13333,23.13333,24.52,21.43667,19.04,20.75,21.43667,21.43667,21.43667,25.12,23.09667,22.92
23.13333,24.52,21.43667,19.04,20.75,21.43667,21.43667,21.43667,25.12,23.09667,22.92,21.25
24.52,21.43667,19.04,20.75,21.43667,21.43667,21.43667,25.12,23.09667,22.92,21.25,23.09667
21.43667,19.04,20.75,21.43667,21.43667,21.43667,25.12,23.09667,22.92,21.25,23.09667,23.09667
19.04,20.75,21.43667,21.43667,21.43667,25.12,23.09667,22.92,21.25,23.09667,23.09667,23.09667
20.75,21.43667,21.43667,21.43667,25.12,23.09667,22.92,21.25,23.09667,23.09667,23.09667,26.64
21.43667,21.43667,21.43667,25.12,23.09667,22.92,21.25,23.09667,23.09667,23.09667,26.64,25.33667
21.43667,21.43667,25.12,23.09667,22.92,21.25,23.09667,23.09667,23.09667,26.64,25.33667,26.01
21.43667,25.12,23.09667,22.92,21.25,23.09667,23.09667,23.09667,26.64,25.33667,26.01,23.36
25.12,23.09667,22.92,21.25,23.09667,23.09667,23.09667,26.64,25.33667,26.01,23.36,25.33667
23.09667,22.92,21.25,23.09667,23.09667,23.09667,26.64,25.33667,26.01,23.36,25.33667,25.33667
22.92,21.25,23.09667,23.09667,23.09667,26.64,25.33667,26.01,23.36,25.33667,25.33667,25.33667
21.25,23.09667,23.09667,23.09667,26.64,25.33667,26.01,23.36,25.33667,25.33667,25.33667,25.79
23.09667,23.09667,23.09667,26.64,25.33667,26.01,23.36,25.33667,25.33667,25.33667,25.79,24.82
23.09667,23.09667,26.64,25.33667,26.01,23.36,25.33667,25.33667,25.33667,25.79,24.82,23.17
23.09667,26.64,25.33667,26.01,23.36,25.33667,25.33667,25.33667,25.79,24.82,23.17,25.5
26.64,25.33667,26.01,23.36,25.33667,25.33667,25.33667,25.79,24.82,23.17,25.5,24.82
25.33667,26.01,23.36,25.33667,25.33667,25.33667,25.79,24.82,23.17,25.5,24.82,24.82
26.01,23.36,25.33667,25.33667,25.33667,25.79,24.82,23.17,25.5,24.82,24.82,24.82
23.36,25.33667,25.33667,25.33667,25.79,24.82,23.17,25.5,24.82,24.82,24.82,25.85
25.33667,25.33667,25.33667,25.79,24.82,23.17,25.5,24.82,24.82,24.82,25.85,22.59333
25.33667,25.33667,25.79,24.82,23.17,25.5,24.82,24.82,24.82,25.85,22.59333,21.52
25.33667,25.79,24.82,23.17,25.5,24.82,24.82,24.82,25.85,22.59333,21.52,20.41
25.79,24.82,23.17,25.5,24.82,24.82,24.82,25.85,22.59333,21.52,20.41,22.59333
24.82,23.17,25.5,24.82,24.82,24.82,25.85,22.59333,21.52,20.41,22.59333,22.59333
23.17,25.5,24.82,24.82,24.82,25.85,22.59333,21.52,20.41,22.59333,22.59333,22.59333
25.5,24.82,24.82,24.82,25.85,22.59333,21.52,20.41,22.59333,22.59333,22.59333,23.96
24.82,24.82,24.82,25.85,22.59333,21.52,20.41,22.59333,22.59333,22.59333,23.96,22.1733
24.82,24.82,25.85,22.59333,21.52,20.41,22.59333,22.59333,22.59333,23.96,22.1733,22.01
24.82,25.85,22.59333,21.52,20.41,22.59333,22.59333,22.59333,23.96,22.1733,22.01,20.55
25.85,22.59333,21.52,20.41,22.59333,22.59333,22.59333,23.96,22.1733,22.01,20.55,22.1733
22.59333,21.52,20.41,22.59333,22.59333,22.59333,23.96,22.1733,22.01,20.55,22.1733,22.1733
21.52,20.41,22.59333,22.59333,22.59333,23.96,22.1733,22.01,20.55,22.1733,22.1733,22.1733
20.41,22.59333,22.59333,22.59333,23.96,22.1733,22.01,20.55,22.1733,22.1733,22.1733,24.79
22.59333,22.59333,22.59333,23.96,22.1733,22.01,20.55,22.1733,22.1733,22.1733,24.79,20.40333
22.59333,22.59333,23.96,22.1733,22.01,20.55,22.1733,22.1733,22.1733,24.79,20.40333,20.69
22.59333,23.96,22.1733,22.01,20.55,22.1733,22.1733,22.1733,24.79,20.40333,20.69,15.73
23.96,22.1733,22.01,20.55,22.1733,22.1733,22.1733,24.79,20.40333,20.69,15.73,20.40333
22.1733,22.01,20.55,22.1733,22.1733,22.1733,24.79,20.40333,20.69,15.73,20.40333,20.40333
22.01,20.55,22.1733,22.1733,22.1733,24.79,20.40333,20.69,15.73,20.40333,20.40333,20.40333
20.55,22.1733,22.1733,22.1733,24.79,20.40333,20.69,15.73,20.40333,20.40333,20.40333,23.46
22.1733,22.1733,22.1733,24.79,20.40333,20.69,15.73,20.40333,20.40333,20.40333,23.46,20.80333
22.1733,22.1733,24.79,20.40333,20.69,15.73,20.40333,20.40333,20.40333,23.46,20.80333,21.42
22.1733,24.79,20.40333,20.69,15.73,20.40333,20.40333,20.40333,23.46,20.80333,21.42,17.53
24.79,20.40333,20.69,15.73,20.40333,20.40333,20.40333,23.46,20.80333,21.42,17.53,20.80333
20.40333,20.69,15.73,20.40333,20.40333,20.40333,23.46,20.80333,21.42,17.53,20.80333,20.80333
20.69,15.73,20.40333,20.40333,20.40333,23.46,20.80333,21.42,17.53,20.80333,20.80333,20.80333
15.73,20.40333,20.40333,20.40333,23.46,20.80333,21.42,17.53,20.80333,20.80333,20.80333,22.39
20.40333,20.40333,20.40333,23.46,20.80333,21.42,17.53,20.80333,20.80333,20.80333,22.39,20.04
20.40333,20.40333,23.46,20.80333,21.42,17.53,20.80333,20.80333,20.80333,22.39,20.04,18.81
20.40333,23.46,20.80333,21.42,17.53,20.80333,20.80333,20.80333,22.39,20.04,18.81,18.92
23.46,20.80333,21.42,17.53,20.80333,20.80333,20.80333,22.39,20.04,18.81,18.92,20.04
20.80333,21.42,17.53,20.80333,20.80333,20.80333,22.39,20.04,18.81,18.92,20.04,20.04
21.42,17.53,20.80333,20.80333,20.80333,22.39,20.04,18.81,18.92,20.04,20.04,20.04
17.53,20.80333,20.80333,20.80333,22.39,20.04,18.81,18.92,20.04,20.04,20.04,22.71
20.80333,20.80333,20.80333,22.39,20.04,18.81,18.92,20.04,20.04,20.04,22.71,18.73667
20.80333,20.80333,22.39,20.04,18.81,18.92,20.04,20.04,20.04,22.71,18.73667,17.26
20.80333,22.39,20.04,18.81,18.92,20.04,20.04,20.04,22.71,18.73667,17.26,16.24
22.39,20.04,18.81,18.92,20.04,20.04,20.04,22.71,18.73667,17.26,16.24,18.73667
20.04,18.81,18.92,20.04,20.04,20.04,22.71,18.73667,17.26,16.24,18.73667,18.73667
18.81,18.92,20.04,20.04,20.04,22.71,18.73667,17.26,16.24,18.73667,18.73667,18.73667
18.92,20.04,20.04,20.04,22.71,18.73667,17.26,16.24,18.73667,18.73667,18.73667,22.27
20.04,20.04,20.04,22.71,18.73667,17.26,16.24,18.73667,18.73667,18.73667,22.27,21.44
20.04,20.04,22.71,18.73667,17.26,16.24,18.73667,18.73667,18.73667,22.27,21.44,20.57
20.04,22.71,18.73667,17.26,16.24,18.73667,18.73667,18.73667,22.27,21.44,20.57,21.48
22.71,18.73667,17.26,16.24,18.73667,18.73667,18.73667,22.27,21.44,20.57,21.48,21.44
18.73667,17.26,16.24,18.73667,18.73667,18.73667,22.27,21.44,20.57,21.48,21.44,21.44
17.26,16.24,18.73667,18.73667,18.73667,22.27,21.44,20.57,21.48,21.44,21.44,21.44
16.24,18.73667,18.73667,18.73667,22.27,21.44,20.57,21.48,21.44,21.44,21.44,21.86
18.73667,18.73667,18.73667,22.27,21.44,20.57,21.48,21.44,21.44,21.44,21.86,22.85
18.73667,18.73667,22.27,21.44,20.57,21.48,21.44,21.44,21.44,21.86,22.85,21.9
18.73667,22.27,21.44,20.57,21.48,21.44,21.44,21.44,21.86,22.85,21.9,24.79
