MSPt-12,MSPt-11,MSPt-10,MSPt-9,MSPt-8,MSPt-7,MSPt-6,MSPt-5,MSPt-4,MSPt-3,MSPt-2,MSPt-1,MSPt,MSPt+1
129.5648,117.7021,77.4936,73.1567,113.8036,221.8508,92.153,129.7116,118.3733,78.9473,73.7971,113.7801,219.6197,90.6809
117.7021,77.4936,73.1567,113.8036,221.8508,92.153,129.7116,118.3733,78.9473,73.7971,113.7801,219.6197,90.6809,131.8793
77.4936,73.1567,113.8036,221.8508,92.153,129.7116,118.3733,78.9473,73.7971,113.7801,219.6197,90.6809,131.8793,117.2075
73.1567,113.8036,221.8508,92.153,129.7116,118.3733,78.9473,73.7971,113.7801,219.6197,90.6809,131.8793,117.2075,78.6993
113.8036,221.8508,92.153,129.7116,118.3733,78.9473,73.7971,113.7801,219.6197,90.6809,131.8793,117.2075,78.6993,77.7075
221.8508,92.153,129.7116,118.3733,78.9473,73.7971,113.7801,219.6197,90.6809,131.8793,117.2075,78.6993,77.7075,104.6582
92.153,129.7116,118.3733,78.9473,73.7971,113.7801,219.6197,90.6809,131.8793,117.2075,78.6993,77.7075,104.6582,218.2015
129.7116,118.3733,78.9473,73.7971,113.7801,219.6197,90.6809,131.8793,117.2075,78.6993,77.7075,104.6582,218.2015,89.3446
118.3733,78.9473,73.7971,113.7801,219.6197,90.6809,131.8793,117.2075,78.6993,77.7075,104.6582,218.2015,89.3446,129.7027
78.9473,73.7971,113.7801,219.6197,90.6809,131.8793,117.2075,78.6993,77.7075,104.6582,218.2015,89.3446,129.7027,117.2546
73.7971,113.7801,219.6197,90.6809,131.8793,117.2075,78.6993,77.7075,104.6582,218.2015,89.3446,129.7027,117.2546,75.2662
113.7801,219.6197,90.6809,131.8793,117.2075,78.6993,77.7075,104.6582,218.2015,89.3446,129.7027,117.2546,75.2662,74.8326
219.6197,90.6809,131.8793,117.2075,78.6993,77.7075,104.6582,218.2015,89.3446,129.7027,117.2546,75.2662,74.8326,116.1798
90.6809,131.8793,117.2075,78.6993,77.7075,104.6582,218.2015,89.3446,129.7027,117.2546,75.2662,74.8326,116.1798,215.1094
131.8793,117.2075,78.6993,77.7075,104.6582,218.2015,89.3446,129.7027,117.2546,75.2662,74.8326,116.1798,215.1094,86.694
117.2075,78.6993,77.7075,104.6582,218.2015,89.3446,129.7027,117.2546,75.2662,74.8326,116.1798,215.1094,86.694,130.4039
78.6993,77.7075,104.6582,218.2015,89.3446,129.7027,117.2546,75.2662,74.8326,116.1798,215.1094,86.694,130.4039,115.8449
77.7075,104.6582,218.2015,89.3446,129.7027,117.2546,75.2662,74.8326,116.1798,215.1094,86.694,130.4039,115.8449,74.8726
104.6582,218.2015,89.3446,129.7027,117.2546,75.2662,74.8326,116.1798,215.1094,86.694,130.4039,115.8449,74.8726,75.7329
218.2015,89.3446,129.7027,117.2546,75.2662,74.8326,116.1798,215.1094,86.694,130.4039,115.8449,74.8726,75.7329,112.2567
89.3446,129.7027,117.2546,75.2662,74.8326,116.1798,215.1094,86.694,130.4039,115.8449,74.8726,75.7329,112.2567,211.8959
129.7027,117.2546,75.2662,74.8326,116.1798,215.1094,86.694,130.4039,115.8449,74.8726,75.7329,112.2567,211.8959,86.055
117.2546,75.2662,74.8326,116.1798,215.1094,86.694,130.4039,115.8449,74.8726,75.7329,112.2567,211.8959,86.055,128.5816
75.2662,74.8326,116.1798,215.1094,86.694,130.4039,115.8449,74.8726,75.7329,112.2567,211.8959,86.055,128.5816,114.6104
74.8326,116.1798,215.1094,86.694,130.4039,115.8449,74.8726,75.7329,112.2567,211.8959,86.055,128.5816,114.6104,75.7916
116.1798,215.1094,86.694,130.4039,115.8449,74.8726,75.7329,112.2567,211.8959,86.055,128.5816,114.6104,75.7916,74.5017
215.1094,86.694,130.4039,115.8449,74.8726,75.7329,112.2567,211.8959,86.055,128.5816,114.6104,75.7916,74.5017,110.8352
86.694,130.4039,115.8449,74.8726,75.7329,112.2567,211.8959,86.055,128.5816,114.6104,75.7916,74.5017,110.8352,210.4616
130.4039,115.8449,74.8726,75.7329,112.2567,211.8959,86.055,128.5816,114.6104,75.7916,74.5017,110.8352,210.4616,84.5481
115.8449,74.8726,75.7329,112.2567,211.8959,86.055,128.5816,114.6104,75.7916,74.5017,110.8352,210.4616,84.5481,126.916
74.8726,75.7329,112.2567,211.8959,86.055,128.5816,114.6104,75.7916,74.5017,110.8352,210.4616,84.5481,126.916,114.5219
75.7329,112.2567,211.8959,86.055,128.5816,114.6104,75.7916,74.5017,110.8352,210.4616,84.5481,126.916,114.5219,73.1886
112.2567,211.8959,86.055,128.5816,114.6104,75.7916,74.5017,110.8352,210.4616,84.5481,126.916,114.5219,73.1886,76.7139
211.8959,86.055,128.5816,114.6104,75.7916,74.5017,110.8352,210.4616,84.5481,126.916,114.5219,73.1886,76.7139,115.3031
86.055,128.5816,114.6104,75.7916,74.5017,110.8352,210.4616,84.5481,126.916,114.5219,73.1886,76.7139,115.3031,210.115
128.5816,114.6104,75.7916,74.5017,110.8352,210.4616,84.5481,126.916,114.5219,73.1886,76.7139,115.3031,210.115,83.3417
114.6104,75.7916,74.5017,110.8352,210.4616,84.5481,126.916,114.5219,73.1886,76.7139,115.3031,210.115,83.3417,126.3476
75.7916,74.5017,110.8352,210.4616,84.5481,126.916,114.5219,73.1886,76.7139,115.3031,210.115,83.3417,126.3476,112.2942
