MLPt-5,MSPt-7,MSPt-6,IVt-1,IVt-5,IVt-7,IVt-6,MLPt-6,MLPt-7,DVt-6,DVt-7,MLPt-2,MLPt-3,MLPt-4,MLPt-1
133.044268,218.2015,89.3446,39.61,36.79,31.94,48.52,84.78581979,204.0136054,33.69,56.14,75.54417414,78.41020608,91.25,126.2755102
91.25,89.3446,129.7027,35.33,44.12,48.52,36.79,133.044268,84.78581979,47.12,33.69,126.2755102,75.54417414,78.41020608,218.125
78.41020608,129.7027,117.2546,46.87,52.6,36.79,44.12,91.25,133.044268,42.73333333,47.12,218.125,126.2755102,75.54417414,89.30698765
75.54417414,117.2546,75.2662,37.99,55.26,44.12,52.6,78.41020608,91.25,36.59,42.73333333,89.30698765,218.125,126.2755102,135.0686347
126.2755102,75.2662,74.8326,44.67666667,39.61,52.6,55.26,75.54417414,78.41020608,35.14,36.59,135.0686347,89.30698765,218.125,92.28219697
218.125,74.8326,116.1798,54.23,35.33,55.26,39.61,126.2755102,75.54417414,47.72,35.14,92.28219697,135.0686347,89.30698765,83.3125
89.30698765,116.1798,215.1094,55.75,46.87,39.61,35.33,218.125,126.2755102,52.6,47.72,83.3125,92.28219697,135.0686347,80.77367206
135.0686347,215.1094,86.694,37.89,37.99,35.33,46.87,89.30698765,218.125,35.41,52.6,80.77367206,83.3125,92.28219697,129.7827239
92.28219697,86.694,130.4039,38.62,44.67666667,46.87,37.99,135.0686347,89.30698765,46.1,35.41,129.7827239,80.77367206,83.3125,216.5298613
83.3125,130.4039,115.8449,46.69,54.23,37.99,44.67666667,92.28219697,135.0686347,42.31166667,46.1,216.5298613,129.7827239,80.77367206,88.44791703
80.77367206,115.8449,74.8726,39.49,55.75,44.67666667,54.23,83.3125,92.28219697,35.43,42.31166667,88.44791703,216.5298613,129.7827239,134.7884788
