SFGt-12,SFGt-11,SFGt-10,SFGt-9,SFGt-8,SFGt-7,SFGt-6,SFGt-5,SFGt-4,SFGt-3,SFGt-2,SFGt-1
76.82667,78.64,76.42,76.82667,76.82667,76.82667,74.48,76.51667,75.84,79.23,76.51667,76.51667
78.64,76.42,76.82667,76.82667,76.82667,74.48,76.51667,75.84,79.23,76.51667,76.51667,76.51667
76.42,76.82667,76.82667,76.82667,74.48,76.51667,75.84,79.23,76.51667,76.51667,76.51667,72.38
76.82667,76.82667,76.82667,74.48,76.51667,75.84,79.23,76.51667,76.51667,76.51667,72.38,74.28333
76.82667,76.82667,74.48,76.51667,75.84,79.23,76.51667,76.51667,76.51667,72.38,74.28333,76.6
76.82667,74.48,76.51667,75.84,79.23,76.51667,76.51667,76.51667,72.38,74.28333,76.6,73.87
74.48,76.51667,75.84,79.23,76.51667,76.51667,76.51667,72.38,74.28333,76.6,73.87,74.28333
76.51667,75.84,79.23,76.51667,76.51667,76.51667,72.38,74.28333,76.6,73.87,74.28333,74.28333
75.84,79.23,76.51667,76.51667,76.51667,72.38,74.28333,76.6,73.87,74.28333,74.28333,74.28333
79.23,76.51667,76.51667,76.51667,72.38,74.28333,76.6,73.87,74.28333,74.28333,74.28333,73.41
76.51667,76.51667,76.51667,72.38,74.28333,76.6,73.87,74.28333,74.28333,74.28333,73.41,74.37333
76.51667,76.51667,72.38,74.28333,76.6,73.87,74.28333,74.28333,74.28333,73.41,74.37333,72.88
76.51667,72.38,74.28333,76.6,73.87,74.28333,74.28333,74.28333,73.41,74.37333,72.88,76.83
72.38,74.28333,76.6,73.87,74.28333,74.28333,74.28333,73.41,74.37333,72.88,76.83,74.37333
74.28333,76.6,73.87,74.28333,74.28333,74.28333,73.41,74.37333,72.88,76.83,74.37333,74.37333
76.6,73.87,74.28333,74.28333,74.28333,73.41,74.37333,72.88,76.83,74.37333,74.37333,74.37333
73.87,74.28333,74.28333,74.28333,73.41,74.37333,72.88,76.83,74.37333,74.37333,74.37333,73.18
74.28333,74.28333,74.28333,73.41,74.37333,72.88,76.83,74.37333,74.37333,74.37333,73.18,75.36
74.28333,74.28333,73.41,74.37333,72.88,76.83,74.37333,74.37333,74.37333,73.18,75.36,76.18
74.28333,73.41,74.37333,72.88,76.83,74.37333,74.37333,74.37333,73.18,75.36,76.18,76.72
73.41,74.37333,72.88,76.83,74.37333,74.37333,74.37333,73.18,75.36,76.18,76.72,75.36
74.37333,72.88,76.83,74.37333,74.37333,74.37333,73.18,75.36,76.18,76.72,75.36,75.36
72.88,76.83,74.37333,74.37333,74.37333,73.18,75.36,76.18,76.72,75.36,75.36,75.36
76.83,74.37333,74.37333,74.37333,73.18,75.36,76.18,76.72,75.36,75.36,75.36,74.37
74.37333,74.37333,74.37333,73.18,75.36,76.18,76.72,75.36,75.36,75.36,74.37,76.91667
74.37333,74.37333,73.18,75.36,76.18,76.72,75.36,75.36,75.36,74.37,76.91667,79.92
74.37333,73.18,75.36,76.18,76.72,75.36,75.36,75.36,74.37,76.91667,79.92,76.46
73.18,75.36,76.18,76.72,75.36,75.36,75.36,74.37,76.91667,79.92,76.46,76.91667
75.36,76.18,76.72,75.36,75.36,75.36,74.37,76.91667,79.92,76.46,76.91667,76.91667
76.18,76.72,75.36,75.36,75.36,74.37,76.91667,79.92,76.46,76.91667,76.91667,76.91667
76.72,75.36,75.36,75.36,74.37,76.91667,79.92,76.46,76.91667,76.91667,76.91667,74.42
75.36,75.36,75.36,74.37,76.91667,79.92,76.46,76.91667,76.91667,76.91667,74.42,77.65333
75.36,75.36,74.37,76.91667,79.92,76.46,76.91667,76.91667,76.91667,74.42,77.65333,79.7
75.36,74.37,76.91667,79.92,76.46,76.91667,76.91667,76.91667,74.42,77.65333,79.7,78.84
74.37,76.91667,79.92,76.46,76.91667,76.91667,76.91667,74.42,77.65333,79.7,78.84,77.65333
76.91667,79.92,76.46,76.91667,76.91667,76.91667,74.42,77.65333,79.7,78.84,77.65333,77.65333
79.92,76.46,76.91667,76.91667,76.91667,74.42,77.65333,79.7,78.84,77.65333,77.65333,77.65333
76.46,76.91667,76.91667,76.91667,74.42,77.65333,79.7,78.84,77.65333,77.65333,77.65333,73.93
76.91667,76.91667,76.91667,74.42,77.65333,79.7,78.84,77.65333,77.65333,77.65333,73.93,77.86
76.91667,76.91667,74.42,77.65333,79.7,78.84,77.65333,77.65333,77.65333,73.93,77.86,76.68
76.91667,74.42,77.65333,79.7,78.84,77.65333,77.65333,77.65333,73.93,77.86,76.68,82.97
74.42,77.65333,79.7,78.84,77.65333,77.65333,77.65333,73.93,77.86,76.68,82.97,77.86
77.65333,79.7,78.84,77.65333,77.65333,77.65333,73.93,77.86,76.68,82.97,77.86,77.86
79.7,78.84,77.65333,77.65333,77.65333,73.93,77.86,76.68,82.97,77.86,77.86,77.86
78.84,77.65333,77.65333,77.65333,73.93,77.86,76.68,82.97,77.86,77.86,77.86,75.83
77.65333,77.65333,77.65333,73.93,77.86,76.68,82.97,77.86,77.86,77.86,75.83,77.04333
77.65333,77.65333,73.93,77.86,76.68,82.97,77.86,77.86,77.86,75.83,77.04333,76.7
77.65333,73.93,77.86,76.68,82.97,77.86,77.86,77.86,75.83,77.04333,76.7,78.6
73.93,77.86,76.68,82.97,77.86,77.86,77.86,75.83,77.04333,76.7,78.6,77.04333
77.86,76.68,82.97,77.86,77.86,77.86,75.83,77.04333,76.7,78.6,77.04333,77.04333
76.68,82.97,77.86,77.86,77.86,75.83,77.04333,76.7,78.6,77.04333,77.04333,77.04333
82.97,77.86,77.86,77.86,75.83,77.04333,76.7,78.6,77.04333,77.04333,77.04333,75.46
77.86,77.86,77.86,75.83,77.04333,76.7,78.6,77.04333,77.04333,77.04333,75.46,78.29
77.86,77.86,75.83,77.04333,76.7,78.6,77.04333,77.04333,77.04333,75.46,78.29,81.01
77.86,75.83,77.04333,76.7,78.6,77.04333,77.04333,77.04333,75.46,78.29,81.01,78.4
75.83,77.04333,76.7,78.6,77.04333,77.04333,77.04333,75.46,78.29,81.01,78.4,78.29
77.04333,76.7,78.6,77.04333,77.04333,77.04333,75.46,78.29,81.01,78.4,78.29,78.29
76.7,78.6,77.04333,77.04333,77.04333,75.46,78.29,81.01,78.4,78.29,78.29,78.29
78.6,77.04333,77.04333,77.04333,75.46,78.29,81.01,78.4,78.29,78.29,78.29,74.09
77.04333,77.04333,77.04333,75.46,78.29,81.01,78.4,78.29,78.29,78.29,74.09,77.28333
77.04333,77.04333,75.46,78.29,81.01,78.4,78.29,78.29,78.29,74.09,77.28333,80.03
77.04333,75.46,78.29,81.01,78.4,78.29,78.29,78.29,74.09,77.28333,80.03,77.73
75.46,78.29,81.01,78.4,78.29,78.29,78.29,74.09,77.28333,80.03,77.73,77.28333
78.29,81.01,78.4,78.29,78.29,78.29,74.09,77.28333,80.03,77.73,77.28333,77.28333
81.01,78.4,78.29,78.29,78.29,74.09,77.28333,80.03,77.73,77.28333,77.28333,77.28333
78.4,78.29,78.29,78.29,74.09,77.28333,80.03,77.73,77.28333,77.28333,77.28333,74.52
78.29,78.29,78.29,74.09,77.28333,80.03,77.73,77.28333,77.28333,77.28333,74.52,76.86667
78.29,78.29,74.09,77.28333,80.03,77.73,77.28333,77.28333,77.28333,74.52,76.86667,79.14
78.29,74.09,77.28333,80.03,77.73,77.28333,77.28333,77.28333,74.52,76.86667,79.14,76.94
74.09,77.28333,80.03,77.73,77.28333,77.28333,77.28333,74.52,76.86667,79.14,76.94,76.86667
77.28333,80.03,77.73,77.28333,77.28333,77.28333,74.52,76.86667,79.14,76.94,76.86667,76.86667
80.03,77.73,77.28333,77.28333,77.28333,74.52,76.86667,79.14,76.94,76.86667,76.86667,76.86667
77.73,77.28333,77.28333,77.28333,74.52,76.86667,79.14,76.94,76.86667,76.86667,76.86667,75.48
77.28333,77.28333,77.28333,74.52,76.86667,79.14,76.94,76.86667,76.86667,76.86667,75.48,78.56333
77.28333,77.28333,74.52,76.86667,79.14,76.94,76.86667,76.86667,76.86667,75.48,78.56333,80.96
77.28333,74.52,76.86667,79.14,76.94,76.86667,76.86667,76.86667,75.48,78.56333,80.96,79.25
74.52,76.86667,79.14,76.94,76.86667,76.86667,76.86667,75.48,78.56333,80.96,79.25,78.56333
76.86667,79.14,76.94,76.86667,76.86667,76.86667,75.48,78.56333,80.96,79.25,78.56333,78.56333
79.14,76.94,76.86667,76.86667,76.86667,75.48,78.56333,80.96,79.25,78.56333,78.56333,78.56333
76.94,76.86667,76.86667,76.86667,75.48,78.56333,80.96,79.25,78.56333,78.56333,78.56333,74.88
76.86667,76.86667,76.86667,75.48,78.56333,80.96,79.25,78.56333,78.56333,78.56333,74.88,76.9033
76.86667,76.86667,75.48,78.56333,80.96,79.25,78.56333,78.56333,78.56333,74.88,76.9033,77.08
76.86667,75.48,78.56333,80.96,79.25,78.56333,78.56333,78.56333,74.88,76.9033,77.08,78.75
75.48,78.56333,80.96,79.25,78.56333,78.56333,78.56333,74.88,76.9033,77.08,78.75,76.9033
78.56333,80.96,79.25,78.56333,78.56333,78.56333,74.88,76.9033,77.08,78.75,76.9033,76.9033
80.96,79.25,78.56333,78.56333,78.56333,74.88,76.9033,77.08,78.75,76.9033,76.9033,76.9033
79.25,78.56333,78.56333,78.56333,74.88,76.9033,77.08,78.75,76.9033,76.9033,76.9033,73.36
78.56333,78.56333,78.56333,74.88,76.9033,77.08,78.75,76.9033,76.9033,76.9033,73.36,74.66333
78.56333,78.56333,74.88,76.9033,77.08,78.75,76.9033,76.9033,76.9033,73.36,74.66333,73.99
78.56333,74.88,76.9033,77.08,78.75,76.9033,76.9033,76.9033,73.36,74.66333,73.99,76.64
74.88,76.9033,77.08,78.75,76.9033,76.9033,76.9033,73.36,74.66333,73.99,76.64,74.66333
76.9033,77.08,78.75,76.9033,76.9033,76.9033,73.36,74.66333,73.99,76.64,74.66333,74.66333
77.08,78.75,76.9033,76.9033,76.9033,73.36,74.66333,73.99,76.64,74.66333,74.66333,74.66333
78.75,76.9033,76.9033,76.9033,73.36,74.66333,73.99,76.64,74.66333,74.66333,74.66333,74.21
76.9033,76.9033,76.9033,73.36,74.66333,73.99,76.64,74.66333,74.66333,74.66333,74.21,75.18
76.9033,76.9033,73.36,74.66333,73.99,76.64,74.66333,74.66333,74.66333,74.21,75.18,76.83
76.9033,73.36,74.66333,73.99,76.64,74.66333,74.66333,74.66333,74.21,75.18,76.83,74.5
